z color ID
0.776900 1.889000 222618.88+002138.8
0.777000 0.873000 37.341334
0.777000 0.739000 223614.77-001241.9
0.779000 1.085000 021016.88-054328.3
0.780000 0.803000 090240.51+020743.8
0.781000 1.188000 38.573048
0.782000 0.828000 021928.90-040700.1
0.782000 2.405000 090112.04+011549.5
0.783000 0.265000 021120.38-054546.9
0.783400 1.036000 223410.50+004210.0
0.784000 1.322000 021743.03-043624.9
0.784000 1.122000 37.854789000000004
0.784900 0.959000 223606.68+000704.4
0.786000 0.987000 022842.20-053527.3
0.788000 1.518000 021705.52-042253.5
0.789000 -0.113000 220704.52+011032.1
0.791900 1.696000 090420.88+013038.0
0.792100 1.105000 085637.86+011901.9
0.793000 1.392000 020517.38-051024.0
0.793000 0.923000 115817.24-003430.7
0.794000 1.248000 090337.69+004114.6
0.795000 2.415000 084908.95+002902.3
0.795000 1.231000 222324.63-000944.6
0.798100 1.015000 090604.03+011114.1
0.800000 1.223000 120419.01-005441.0
0.801000 1.179000 022241.10-044550.4
0.802000 2.097000 223035.55+004757.1
0.803200 1.673000 090602.43+012725.3
0.804000 0.020000 161323.08+435150.7
0.805000 0.202000 141808.03+520023.2
0.806000 4.084000 084258.42+014349.2
0.807600 0.575000 223315.84+010709.0
0.808000 2.181000 021214.11-053658.1
0.808700 0.914000 085640.38+015116.9
0.808700 1.216000 142913.71-004416.9
0.809000 1.211000 090021.49+005734.9
0.812000 1.013000 022024.49-040017.2
0.813000 1.304000 020700.73-044705.9
0.813000 0.761000 022535.84-052646.9
0.813000 0.907000 142010.81-000656.7
0.814700 1.067000 085345.03-000959.6
0.817000 1.198000 221952.07+000054.1
0.819000 0.872000 021410.25-033134.5
0.822000 0.964000 022032.41-040332.2
0.823000 1.382000 115253.68+000131.9
0.824000 0.344000 020607.44-041323.5
0.825000 1.077000 020804.83-042327.1
0.825000 1.026000 220818.81+014815.9
0.830000 0.693000 022047.30-042619.0
0.830000 0.046000 223847.84+001053.2
0.831000 0.971000 021628.45-040147.0
0.832400 1.164000 222650.93-002716.7
0.834000 0.842000 222514.20-001619.5
0.835000 0.766000 084829.60+010356.6
0.836000 1.040000 084838.96+021035.4
0.839000 -0.756000 223221.14-000617.0
0.842000 1.227000 224228.08+013909.2
0.843400 0.969000 222726.27-002855.8
0.847000 1.357000 142334.85-005849.2
