z color ID
0.681200 1.115000 085531.21+015346.8
0.683000 1.290000 222005.58+013227.1
0.687000 2.147000 161429.14+434903.5
0.690000 2.186000 021933.75-054920.1
0.691000 1.511000 115333.98+010904.9
0.693000 2.293000 022605.44-043226.8
0.693000 2.517000 115723.32+001708.9
0.693000 1.945000 223738.01+003648.6
0.694000 2.240000 023053.85-035702.0
0.695000 1.479000 37.567617999999996
0.697000 2.505000 020454.66-051014.4
0.698000 2.345000 120554.25-004428.2
0.701000 1.611000 090601.66+002020.7
0.704300 2.576000 223347.95+004336.6
0.707000 2.077000 084230.96+010829.2
0.707000 1.428000 141526.07+000448.5
0.710600 2.031000 223633.98+002913.2
0.711000 1.557000 223537.26+003551.4
0.714000 1.858000 085640.08+000621.8
0.714500 2.057000 224145.41-000122.6
0.715000 0.886000 161408.54+432404.1
0.716000 0.473000 141506.93-001000.2
0.719000 2.629000 142240.36-010646.1
0.722000 1.599000 022716.12-044539.1
0.723000 2.112000 021453.66-042844.8
0.725900 2.359000 085635.78+014247.0
0.728000 4.058000 221623.77-000728.7
0.729800 1.659000 115412.54-000153.2
0.730086 0.944000 023142.18-033322.7
0.732000 2.148000 020659.51-042343.3
0.732000 2.869000 085717.97+014953.3
0.733000 1.719000 221854.37+002656.7
0.740000 2.292000 021331.35-042849.5
0.741000 1.829000 020411.04-042526.9
0.741700 2.238000 114909.13-002349.7
0.742000 1.712000 021320.16-050751.1
0.744000 1.675000 221029.67+010843.8
0.745000 1.802000 223259.47+000502.5
0.746500 1.162000 115403.28-005253.4
0.748000 3.664000 090433.45+012050.3
0.748000 1.861000 163342.24+425946.4
0.751000 2.196000 021756.83-035316.6
0.751000 1.718000 161841.15+430440.6
0.753000 1.323000 141712.96+520957.5
0.753000 2.363000 222941.56+005901.6
0.754000 1.892000 221751.96+010049.0
0.754400 2.143000 221620.26-001632.3
0.758700 2.296000 221146.16-003513.5
0.759000 1.711000 221217.03-003151.7
0.762000 3.987000 020845.97-053803.0
0.762000 1.281000 161224.53+440349.2
0.765000 2.162000 020723.77-044011.5
0.765600 1.354000 222615.67+004709.1
0.766550 1.535000 020625.17-044032.6
0.768000 2.035000 021322.56-054100.3
0.769000 2.828000 022011.63-044020.3
0.770000 1.222000 021946.18-050041.2
0.771000 1.890000 022003.08-035247.3
0.772000 1.296000 085103.39+005355.1
0.774000 1.588000 084956.36+005903.7
0.775000 2.632000 085836.03+015044.4
0.777000 -1.661000 021439.52-034722.4
0.777000 1.488000 37.341334
0.777000 1.357000 223614.77-001241.9
0.779000 2.221000 021016.88-054328.3
0.780000 1.503000 090240.51+020743.8
0.781000 2.853000 38.573048
0.782000 1.560000 021928.90-040700.1
0.782000 0.337000 090112.04+011549.5
0.784000 2.123000 021743.03-043624.9
0.784900 2.365000 223606.68+000704.4
0.786000 1.963000 022842.20-053527.3
0.788000 1.684000 021705.52-042253.5
0.789000 -0.433000 220704.52+011032.1
0.793000 2.022000 020517.38-051024.0
0.794000 2.227000 090337.69+004114.6
0.798100 2.012000 090604.03+011114.1
0.800000 2.423000 120419.01-005441.0
0.802000 3.026000 223035.55+004757.1
0.805000 0.432000 141808.03+520023.2
0.807600 0.434000 223315.84+010709.0
0.808700 1.693000 085640.38+015116.9
0.812000 2.290000 022024.49-040017.2
0.813000 1.758000 022535.84-052646.9
0.813000 1.701000 142010.81-000656.7
0.814700 1.780000 085345.03-000959.6
0.817000 1.909000 221952.07+000054.1
0.819000 1.327000 021410.25-033134.5
0.820000 -0.002000 161459.08+432504.8
0.822000 1.803000 022032.41-040332.2
0.824000 1.829000 020607.44-041323.5
0.825000 1.913000 220818.81+014815.9
0.827000 0.761000 020436.54-042831.8
0.830000 0.952000 022047.30-042619.0
0.831000 1.781000 021628.45-040147.0
0.834000 1.376000 222514.20-001619.5
0.835000 1.401000 084829.60+010356.6
0.836000 2.299000 084838.96+021035.4
0.838000 1.294000 37.624131
0.839000 -0.689000 223221.14-000617.0
0.842000 2.617000 224228.08+013909.2
0.847000 2.531000 142334.85-005849.2
0.850000 1.589000 222043.69+005900.9
0.850317 2.715000 020452.84-033711.5
0.856000 2.488000 142148.50+011107.6
0.857000 0.082000 022140.59-053503.4
0.857000 2.636000 224002.55+012734.9
0.857200 1.259000 143454.46-002153.2
0.859000 0.294000 021324.32-053518.0
0.864000 -2.056000 084238.86+015252.2
0.867300 1.961000 223837.87+004905.6
0.870000 1.242000 162703.86+422125.1
0.870100 1.244000 084428.51+014818.7
0.872000 2.519000 022509.79-051246.5
0.875000 0.105000 084537.83+021806.4
0.877000 1.628000 38.390071999999996
0.877000 2.058000 220452.00+004004.7
