ID filter results
020649.47-041452.7 I {'amp': 235.457, 'R_sersic': 1.558, 'n_sersic': 1.4, 'center_x': -0.075, 'center_y': 0.094, 'phi_G': 0.015, 'q': 0.789, 'QSO_amp': 1792.133, 'host_amp': 5992.536, 'host_flux_ratio_percent': 76.979, 'host_mag': 17.556, 'qso_x': -0.053, 'qso_y': 0.119, 'redu_Chisq': 11.962374}
38.227777 G {'amp': 27.874, 'R_sersic': 2.489, 'n_sersic': 1.815, 'center_x': 0.077, 'center_y': 0.156, 'phi_G': 0.724, 'q': 0.879, 'QSO_amp': 53.349, 'host_amp': 1916.803, 'host_flux_ratio_percent': 97.292, 'host_mag': 18.794, 'qso_x': 0.0, 'qso_y': 0.13, 'redu_Chisq': 22.245706}
38.227777 R {'amp': 62.884, 'R_sersic': 2.489, 'n_sersic': 1.815, 'center_x': 0.071, 'center_y': -0.031, 'phi_G': 0.724, 'q': 0.879, 'QSO_amp': 291.529, 'host_amp': 4322.936, 'host_flux_ratio_percent': 93.682, 'host_mag': 17.911, 'qso_x': 0.0, 'qso_y': -0.051, 'redu_Chisq': 12.171032}
38.227777 Z {'amp': 113.634, 'R_sersic': 2.489, 'n_sersic': 1.815, 'center_x': 0.036, 'center_y': -0.033, 'phi_G': 0.724, 'q': 0.879, 'QSO_amp': 834.44, 'host_amp': 7842.422, 'host_flux_ratio_percent': 90.383, 'host_mag': 17.264, 'qso_x': 0.043, 'qso_y': -0.036, 'redu_Chisq': 8.172034}
38.227777 Y {'amp': 131.525, 'R_sersic': 2.489, 'n_sersic': 1.815, 'center_x': 0.036, 'center_y': 0.128, 'phi_G': 0.724, 'q': 0.879, 'QSO_amp': 990.061, 'host_amp': 9082.1, 'host_flux_ratio_percent': 90.17, 'host_mag': 17.105, 'qso_x': 0.052, 'qso_y': 0.125, 'redu_Chisq': 3.926087}
020427.68-043739.2 I {'amp': 122.935, 'R_sersic': 0.837, 'n_sersic': 1.33, 'center_x': -0.101, 'center_y': 0.021, 'phi_G': 1.049, 'q': 0.905, 'QSO_amp': 532.515, 'host_amp': 1053.851, 'host_flux_ratio_percent': 66.432, 'host_mag': 19.443, 'qso_x': -0.079, 'qso_y': -0.017, 'redu_Chisq': 1.471851}
020427.68-043739.2 G {'amp': 38.386, 'R_sersic': 0.837, 'n_sersic': 1.33, 'center_x': -0.085, 'center_y': 0.023, 'phi_G': 1.049, 'q': 0.905, 'QSO_amp': 269.675, 'host_amp': 329.014, 'host_flux_ratio_percent': 54.956, 'host_mag': 20.707, 'qso_x': -0.089, 'qso_y': -0.013, 'redu_Chisq': 1.383885}
020427.68-043739.2 R {'amp': 83.865, 'R_sersic': 0.837, 'n_sersic': 1.33, 'center_x': -0.089, 'center_y': -0.004, 'phi_G': 1.049, 'q': 0.905, 'QSO_amp': 359.316, 'host_amp': 718.769, 'host_flux_ratio_percent': 66.671, 'host_mag': 19.859, 'qso_x': -0.085, 'qso_y': -0.012, 'redu_Chisq': 1.270257}
020427.68-043739.2 Z {'amp': 147.405, 'R_sersic': 0.837, 'n_sersic': 1.33, 'center_x': -0.094, 'center_y': 0.005, 'phi_G': 1.049, 'q': 0.905, 'QSO_amp': 577.266, 'host_amp': 1263.516, 'host_flux_ratio_percent': 68.64, 'host_mag': 19.246, 'qso_x': -0.086, 'qso_y': -0.019, 'redu_Chisq': 1.205813}
020427.68-043739.2 Y {'amp': 179.681, 'R_sersic': 0.837, 'n_sersic': 1.33, 'center_x': -0.102, 'center_y': 0.014, 'phi_G': 1.049, 'q': 0.905, 'QSO_amp': 630.11, 'host_amp': 1539.59, 'host_flux_ratio_percent': 70.959, 'host_mag': 19.031, 'qso_x': -0.087, 'qso_y': -0.016, 'redu_Chisq': 1.046753}
022253.61-042929.2 I {'amp': 203.539, 'R_sersic': 1.225, 'n_sersic': 3.73, 'center_x': 0.209, 'center_y': 0.209, 'phi_G': 0.672, 'q': 0.433, 'QSO_amp': 28.999, 'host_amp': 3168.333, 'host_flux_ratio_percent': 99.093, 'host_mag': 18.248, 'qso_x': 0.062, 'qso_y': -0.118, 'redu_Chisq': 21.527554}
022253.61-042929.2 G {'amp': 49.657, 'R_sersic': 1.225, 'n_sersic': 3.73, 'center_x': -0.004, 'center_y': 0.342, 'phi_G': 0.672, 'q': 0.433, 'QSO_amp': 262.099, 'host_amp': 644.037, 'host_flux_ratio_percent': 71.075, 'host_mag': 19.978, 'qso_x': 0.051, 'qso_y': 0.324, 'redu_Chisq': 4.280628}
022253.61-042929.2 R {'amp': 145.471, 'R_sersic': 1.225, 'n_sersic': 3.73, 'center_x': -0.006, 'center_y': 0.344, 'phi_G': 0.672, 'q': 0.433, 'QSO_amp': 236.273, 'host_amp': 1884.102, 'host_flux_ratio_percent': 88.857, 'host_mag': 18.812, 'qso_x': 0.083, 'qso_y': 0.294, 'redu_Chisq': 6.373052}
022253.61-042929.2 Z {'amp': 257.548, 'R_sersic': 1.225, 'n_sersic': 3.73, 'center_x': 0.182, 'center_y': 0.181, 'phi_G': 0.672, 'q': 0.433, 'QSO_amp': 158.038, 'host_amp': 3360.343, 'host_flux_ratio_percent': 95.508, 'host_mag': 18.184, 'qso_x': 0.316, 'qso_y': 0.013, 'redu_Chisq': 4.45115}
022253.61-042929.2 Y {'amp': 299.085, 'R_sersic': 1.225, 'n_sersic': 3.73, 'center_x': 0.201, 'center_y': 0.171, 'phi_G': 0.672, 'q': 0.433, 'QSO_amp': 288.166, 'host_amp': 3867.678, 'host_flux_ratio_percent': 93.066, 'host_mag': 18.031, 'qso_x': 0.168, 'qso_y': 0.168, 'redu_Chisq': 2.703771}
142648.77+005323.2 I {'amp': 1172.766, 'R_sersic': 0.662, 'n_sersic': 1.637, 'center_x': -0.138, 'center_y': 0.14, 'phi_G': -0.836, 'q': 0.688, 'QSO_amp': 42.397, 'host_amp': 5264.698, 'host_flux_ratio_percent': 99.201, 'host_mag': 17.697, 'qso_x': 0.052, 'qso_y': 0.013, 'redu_Chisq': 425.263877}
142648.77+005323.2 G {'amp': 180.206, 'R_sersic': 0.662, 'n_sersic': 1.637, 'center_x': -0.077, 'center_y': 0.102, 'phi_G': -0.836, 'q': 0.688, 'QSO_amp': 2465.389, 'host_amp': 806.249, 'host_flux_ratio_percent': 24.644, 'host_mag': 19.734, 'qso_x': -0.104, 'qso_y': 0.148, 'redu_Chisq': 95.099551}
142648.77+005323.2 R {'amp': 597.827, 'R_sersic': 0.662, 'n_sersic': 1.637, 'center_x': -0.209, 'center_y': 0.209, 'phi_G': -0.836, 'q': 0.688, 'QSO_amp': 1164.371, 'host_amp': 2701.318, 'host_flux_ratio_percent': 69.879, 'host_mag': 18.421, 'qso_x': 0.002, 'qso_y': 0.034, 'redu_Chisq': 242.790109}
142648.77+005323.2 Z {'amp': 764.203, 'R_sersic': 0.662, 'n_sersic': 1.637, 'center_x': -0.18, 'center_y': 0.164, 'phi_G': -0.836, 'q': 0.688, 'QSO_amp': 6200.472, 'host_amp': 3418.923, 'host_flux_ratio_percent': 35.542, 'host_mag': 18.165, 'qso_x': -0.098, 'qso_y': 0.15, 'redu_Chisq': 64.711941}
142648.77+005323.2 Y {'amp': 827.473, 'R_sersic': 0.662, 'n_sersic': 1.637, 'center_x': -0.205, 'center_y': 0.182, 'phi_G': -0.836, 'q': 0.688, 'QSO_amp': 7416.948, 'host_amp': 3706.949, 'host_flux_ratio_percent': 33.324, 'host_mag': 18.077, 'qso_x': -0.098, 'qso_y': 0.14, 'redu_Chisq': 30.525086}
222230.16+010231.4 I {'amp': 1529.542, 'R_sersic': 0.454, 'n_sersic': 6.998, 'center_x': 0.224, 'center_y': -0.16, 'phi_G': -1.122, 'q': 0.633, 'QSO_amp': 26.97, 'host_amp': 5298.547, 'host_flux_ratio_percent': 99.494, 'host_mag': 17.69, 'qso_x': 0.04, 'qso_y': -0.253, 'redu_Chisq': 18.828817}
222230.16+010231.4 G {'amp': 321.356, 'R_sersic': 0.454, 'n_sersic': 6.998, 'center_x': 0.212, 'center_y': -0.14, 'phi_G': -1.122, 'q': 0.633, 'QSO_amp': 399.648, 'host_amp': 1393.271, 'host_flux_ratio_percent': 77.71, 'host_mag': 19.14, 'qso_x': 0.229, 'qso_y': -0.238, 'redu_Chisq': 3.468703}
222230.16+010231.4 R {'amp': 956.816, 'R_sersic': 0.454, 'n_sersic': 6.998, 'center_x': 0.22, 'center_y': -0.165, 'phi_G': -1.122, 'q': 0.633, 'QSO_amp': 200.906, 'host_amp': 3278.74, 'host_flux_ratio_percent': 94.226, 'host_mag': 18.211, 'qso_x': 0.249, 'qso_y': -0.152, 'redu_Chisq': 4.181734}
222230.16+010231.4 Z {'amp': 1827.477, 'R_sersic': 0.454, 'n_sersic': 6.998, 'center_x': 0.241, 'center_y': -0.165, 'phi_G': -1.122, 'q': 0.633, 'QSO_amp': 49.977, 'host_amp': 6051.172, 'host_flux_ratio_percent': 99.181, 'host_mag': 17.545, 'qso_x': -0.494, 'qso_y': 0.024, 'redu_Chisq': 6.685179}
