ID filter hostmag
020354.68-060844.0 G 19.557000
020354.68-060844.0 R 19.150000
020354.68-060844.0 Z 19.541000
020354.68-060844.0 Y 17.180000
022258.90-045852.4 I 18.920000
022258.90-045852.4 G 19.757000
022258.90-045852.4 R 19.259000
022258.90-045852.4 Z 18.809000
022258.90-045852.4 Y 18.520000
221956.75+005913.3 I 19.645000
221956.75+005913.3 G 21.882000
221956.75+005913.3 R 20.331000
221956.75+005913.3 Z 19.277000
221956.75+005913.3 Y 19.072000
021944.36-052053.8 I 19.119000
021944.36-052053.8 G 20.792000
021944.36-052053.8 R 19.594000
021944.36-052053.8 Z 18.807000
021944.36-052053.8 Y 18.561000
142039.79+520359.7 I 20.959000
142039.79+520359.7 G 22.919000
142039.79+520359.7 R 21.592000
142039.79+520359.7 Z 20.678000
142039.79+520359.7 Y 20.614000
022437.11-054511.2 I 20.492000
022437.11-054511.2 G 22.707000
022437.11-054511.2 R 20.408000
022437.11-054511.2 Z 19.825000
022437.11-054511.2 Y 19.188000
221449.37+011525.3 I 19.169000
221449.37+011525.3 G 21.337000
221449.37+011525.3 R 19.714000
221449.37+011525.3 Z 18.805000
221449.37+011525.3 Y 18.443000
222000.58+010742.1 I 19.961000
222000.58+010742.1 G 22.028000
222000.58+010742.1 R 20.759000
222000.58+010742.1 Z 19.601000
222000.58+010742.1 Y 19.535000
141724.59+523024.8 I 20.880000
141724.59+523024.8 G 23.064000
141724.59+523024.8 R 21.539000
141724.59+523024.8 Z 20.520000
141724.59+523024.8 Y 20.433000
020849.34-045059.0 I 21.540000
020849.34-045059.0 G 23.656000
020849.34-045059.0 R 22.358000
020849.34-045059.0 Z 21.203000
020849.34-045059.0 Y 21.499000
222327.88-001126.1 I 22.880000
222327.88-001126.1 G 24.102000
222327.88-001126.1 R 23.813000
222327.88-001126.1 Z 22.339000
222327.88-001126.1 Y 22.663000
021139.03-042606.7 I 18.345000
021139.03-042606.7 G 18.594000
021139.03-042606.7 R 17.966000
021139.03-042606.7 Z 17.619000
021139.03-042606.7 Y 19.226000
022347.04-043348.1 I 19.524000
022347.04-043348.1 G 21.351000
022347.04-043348.1 R 20.092000
022347.04-043348.1 Z 19.164000
022347.04-043348.1 Y 18.941000
021015.45-061012.9 I 20.789000
021015.45-061012.9 G 22.949000
021015.45-061012.9 R 21.408000
021015.45-061012.9 Z 20.491000
021015.45-061012.9 Y 20.342000
023331.05-054550.9 I 18.324000
023331.05-054550.9 G 22.450000
023331.05-054550.9 R 18.641000
023331.05-054550.9 Z 18.679000
023331.05-054550.9 Y 18.545000
38.368532 I 20.789000
38.368532 G 22.982000
38.368532 R 21.396000
38.368532 Z 20.357000
38.368532 Y 20.106000
221634.20-002712.6 I 21.654000
221634.20-002712.6 G 25.140000
221634.20-002712.6 R 22.268000
221634.20-002712.6 Z 21.724000
221634.20-002712.6 Y 21.400000
021624.80-041432.1 I 20.157000
021624.80-041432.1 G 21.832000
021624.80-041432.1 R 20.683000
021624.80-041432.1 Z 19.824000
021624.80-041432.1 Y 19.632000
022133.83-054842.8 I 19.252000
022133.83-054842.8 G 21.610000
022133.83-054842.8 R 19.832000
022133.83-054842.8 Z 18.967000
022133.83-054842.8 Y 19.132000
021736.36-041943.2 I 18.930000
021736.36-041943.2 G 20.616000
021736.36-041943.2 R 19.483000
021736.36-041943.2 Z 19.817000
021736.36-041943.2 Y 19.894000
022738.94-045832.4 I 19.534000
022738.94-045832.4 G 21.456000
022738.94-045832.4 R 20.312000
022738.94-045832.4 Z 19.394000
022738.94-045832.4 Y 19.285000
084749.23+021714.8 I 18.371000
084749.23+021714.8 G 18.548000
084749.23+021714.8 R 18.553000
084749.23+021714.8 Z 18.362000
084749.23+021714.8 Y 17.796000
020257.39-051225.4 I 21.382000
020257.39-051225.4 G 23.897000
020257.39-051225.4 R 22.128000
020257.39-051225.4 Z 21.046000
020257.39-051225.4 Y 20.890000
020313.15-051057.6 I 21.990000
020313.15-051057.6 G 24.003000
020313.15-051057.6 R 22.868000
020313.15-051057.6 Z 21.736000
020313.15-051057.6 Y 21.427000
021834.48-051357.0 I 21.002000
021834.48-051357.0 G 23.200000
021834.48-051357.0 R 21.680000
021834.48-051357.0 Z 20.610000
021834.48-051357.0 Y 20.428000
141949.83-000643.7 I 20.923000
141949.83-000643.7 G 23.949000
141949.83-000643.7 R 22.154000
141949.83-000643.7 Z 20.446000
141949.83-000643.7 Y 20.438000
021950.50-040141.0 I 20.459000
021950.50-040141.0 G 22.510000
021950.50-040141.0 R 21.135000
021950.50-040141.0 Z 20.094000
021950.50-040141.0 Y 19.928000
020337.29-051406.4 I 20.707000
020337.29-051406.4 G 22.638000
020337.29-051406.4 R 21.624000
020337.29-051406.4 Z 20.320000
020337.29-051406.4 Y 20.117000
38.288235 I 20.390000
38.288235 G 22.038000
38.288235 R 21.478000
38.288235 Z 20.119000
38.288235 Y 20.131000
022449.24-041802.1 I 21.158000
022449.24-041802.1 G 22.990000
022449.24-041802.1 R 21.800000
022449.24-041802.1 Z 20.862000
022449.24-041802.1 Y 20.626000
021104.17-045325.1 I 20.108000
021104.17-045325.1 G 21.465000
021104.17-045325.1 R 20.541000
021104.17-045325.1 Z 19.863000
021104.17-045325.1 Y 19.674000
085755.37-000818.5 I 20.911000
085755.37-000818.5 G 22.113000
085755.37-000818.5 R 21.211000
085755.37-000818.5 Z 20.768000
085755.37-000818.5 Y 20.401000
141522.53+524421.5 I 0
141522.53+524421.5 G 0
141522.53+524421.5 R 0
141522.53+524421.5 Z 0
141522.53+524421.5 Y 0
221306.73-001357.7 I 21.444000
221306.73-001357.7 G 33.479000
221306.73-001357.7 R 22.636000
221306.73-001357.7 Z 20.873000
221306.73-001357.7 Y 21.085000
02152.991-051141.5 I 20.092000
02152.991-051141.5 G 21.530000
02152.991-051141.5 R 20.569000
02152.991-051141.5 Z 19.800000
02152.991-051141.5 Y 19.654000
021405.31-055118.3 I 20.158000
021405.31-055118.3 G 21.931000
021405.31-055118.3 R 20.755000
021405.31-055118.3 Z 19.862000
021405.31-055118.3 Y 19.634000
161930.62+423131.8 I 20.473000
161930.62+423131.8 G 22.385000
161930.62+423131.8 R 21.183000
161930.62+423131.8 Z 20.100000
161930.62+423131.8 Y 20.163000
020634.06-042534.5 I 20.127000
020634.06-042534.5 G 23.436000
020634.06-042534.5 R 21.139000
020634.06-042534.5 Z 19.844000
020634.06-042534.5 Y 19.689000
020942.78-042830.3 I 19.533000
020942.78-042830.3 G 20.987000
020942.78-042830.3 R 19.975000
020942.78-042830.3 Z 19.242000
020942.78-042830.3 Y 18.994000
085038.51+014331.9 I 20.990000
085038.51+014331.9 G 22.583000
085038.51+014331.9 R 21.630000
085038.51+014331.9 Z 20.551000
085038.51+014331.9 Y 20.349000
120619.12-010027.3 I 19.267000
120619.12-010027.3 G 22.130000
120619.12-010027.3 R 20.794000
120619.12-010027.3 Z 19.618000
120619.12-010027.3 Y 19.443000
021006.85-051538.5 I 20.746000
021006.85-051538.5 G 22.773000
021006.85-051538.5 R 21.457000
021006.85-051538.5 Z 20.369000
021006.85-051538.5 Y 20.205000
085451.72+012609.9 I 20.419000
085451.72+012609.9 G 22.195000
085451.72+012609.9 R 19.479000
085451.72+012609.9 Z 20.520000
085451.72+012609.9 Y 20.146000
022116.34-050819.0 I 21.694000
022116.34-050819.0 G 23.416000
022116.34-050819.0 R 22.423000
022116.34-050819.0 Z 21.523000
022116.34-050819.0 Y 21.225000
090350.04-000259.5 I 21.668000
090350.04-000259.5 G 23.148000
090350.04-000259.5 R 22.386000
090350.04-000259.5 Z 21.328000
090350.04-000259.5 Y 21.141000
085801.33-000747.3 I 19.918000
085801.33-000747.3 G 21.790000
085801.33-000747.3 R 20.564000
085801.33-000747.3 Z 19.693000
085801.33-000747.3 Y 19.388000
223648.15+011124.0 I 19.525000
223648.15+011124.0 G 21.290000
223648.15+011124.0 R 20.572000
223648.15+011124.0 Z 19.830000
223648.15+011124.0 Y 19.408000
223045.05-000538.2 I 21.201000
223045.05-000538.2 G 23.216000
223045.05-000538.2 R 22.088000
223045.05-000538.2 Z 20.881000
223045.05-000538.2 Y 20.762000
022228.40-040152.9 I 21.945000
022228.40-040152.9 G 31.008000
022228.40-040152.9 R 22.629000
022228.40-040152.9 Z 21.521000
022228.40-040152.9 Y 21.446000
115240.52-003004.3 I 19.390000
115240.52-003004.3 G 21.331000
115240.52-003004.3 R 20.035000
115240.52-003004.3 Z 19.076000
115240.52-003004.3 Y 18.881000
021535.27-032722.9 I 20.121000
021535.27-032722.9 G 22.760000
021535.27-032722.9 R 21.069000
021535.27-032722.9 Z 19.723000
021535.27-032722.9 Y 19.520000
222741.66+002838.5 I 18.488000
222741.66+002838.5 G 19.922000
222741.66+002838.5 R 23.342000
222741.66+002838.5 Z 20.017000
222741.66+002838.5 Y 18.062000
022145.27-033354.9 I 20.107000
022145.27-033354.9 G 22.502000
022145.27-033354.9 R 20.985000
022145.27-033354.9 Z 19.718000
022145.27-033354.9 Y 19.522000
085727.30+015509.5 I 19.588000
085727.30+015509.5 G 21.410000
085727.30+015509.5 R 20.445000
085727.30+015509.5 Z 19.249000
085727.30+015509.5 Y 19.010000
020853.28-043353.5 I 20.364000
020853.28-043353.5 G 24.047000
020853.28-043353.5 R 21.527000
020853.28-043353.5 Z 20.158000
020853.28-043353.5 Y 19.694000
090843.23+014821.2 I 20.223000
090843.23+014821.2 G 22.389000
090843.23+014821.2 R 20.948000
090843.23+014821.2 Z 19.834000
090843.23+014821.2 Y 19.456000
021218.44-041456.4 I 20.514000
021218.44-041456.4 G 22.495000
021218.44-041456.4 R 21.061000
021218.44-041456.4 Z 20.165000
021218.44-041456.4 Y 20.034000
020225.98-061156.4 I 20.933000
020225.98-061156.4 G 26.531000
020225.98-061156.4 R 21.330000
020225.98-061156.4 Z 20.505000
